A0,sigma_star,phi_star
0.5,0.18590422,0.055381222
0.66666667,0.18477205,0.054985735
0.83333333,0.18364733,0.054591302
1,0.18253004,0.054198162
1.1666667,0.18142019,0.053806538
1.3333333,0.18031927,0.053415894
1.5,0.17922579,0.053027191
1.6666667,0.17814272,0.052639147
1.8333333,0.17706858,0.052252705
2,0.17600485,0.05186733
2.1666667,0.17495005,0.051483923
2.3333333,0.17390566,0.05110194
2.5,0.17287169,0.050721547
2.6666667,0.17184813,0.050342902
2.8333333,0.17083498,0.049966147
3,0.16983374,0.049590744
